,Palabra,cant cuyo,cant guaranitica,Total cuyo,Total guaranitica,Total cuyo guaranitica,Pvalue,fnorm cuyo,fnorm guaranitica,maxdif
899,dontorres,38.0,0.0,1,0,1,4.33665010765e-29,4.04152174355,0.0322502516326,125.317525878
907,localstrike,0.0,412.0,0,2,2,5.26709862968e-29,0.106355835356,13.2871036726,124.930650285
932,servers,1.0,410.0,1,2,3,2.26706481115e-28,0.106355835356,13.2226031694,124.324190818
919,berá,0.0,407.0,0,23,23,1.13087856457e-28,0.106355835356,13.1258524145,123.414501617
918,nde,0.0,407.0,0,127,127,1.13087856457e-28,0.106355835356,13.1258524145,123.414501617
20,culiado,1861.0,50.0,292,35,327,0.0,197.928209598,1.61251258163,122.745218768
934,honderes,37.0,0.0,14,0,14,2.28544709548e-28,3.93516590819,0.0322502516326,122.01969625
935,trivento,37.0,0.0,2,0,2,2.28544709548e-28,3.93516590819,0.0322502516326,122.01969625
936,mansooo,37.0,0.0,23,0,23,2.28544709548e-28,3.93516590819,0.0322502516326,122.01969625
975,tombino,37.0,1.0,24,1,25,3.06611263324e-27,3.93516590819,0.0322502516326,122.01969625
933,molero,37.0,0.0,10,0,10,2.28544709548e-28,3.93516590819,0.0322502516326,122.01969625
949,teress,0.0,398.0,0,217,217,4.47524170904e-28,0.106355835356,12.8356001498,120.685434013
954,clorinda,0.0,396.0,0,136,136,6.07556365473e-28,0.106355835356,12.7710996465,120.078974546
999,guachitos,36.0,1.0,25,1,26,1.61414878255e-26,3.82881007283,0.0322502516326,118.721866621
1000,mansaaa,36.0,1.0,26,1,27,1.61414878255e-26,3.82881007283,0.0322502516326,118.721866621
960,viñolo,36.0,0.0,12,0,12,1.20487417039e-27,3.82881007283,0.0322502516326,118.721866621
959,mendolotudo,36.0,0.0,16,0,16,1.20487417039e-27,3.82881007283,0.0322502516326,118.721866621
291,culiaa,107.0,3.0,59,3,62,2.31111559637e-75,11.3800743831,0.0967507548978,117.622590078
471,leprosos,71.0,2.0,32,2,34,1.30312075092e-50,7.55126431031,0.0645005032652,117.072951807
974,mitai,0.0,386.0,0,144,144,2.80232394753e-27,0.106355835356,12.4485971302,117.046677209
995,nea,1.0,384.0,1,132,133,1.20654974231e-26,0.106355835356,12.3840966269,116.440217741
1007,ribera,1.0,381.0,1,126,127,1.90883565543e-26,0.106355835356,12.287345872,115.53052854
981,compaire,35.0,0.0,12,0,12,6.35439894771e-27,3.72245423748,0.0322502516326,115.424036993
983,atinamos,35.0,0.0,28,0,28,6.35439894771e-27,3.72245423748,0.0322502516326,115.424036993
1036,trole,35.0,1.0,27,1,28,8.50016133628e-26,3.72245423748,0.0322502516326,115.424036993
982,cuc,35.0,0.0,19,0,19,6.35439894771e-27,3.72245423748,0.0322502516326,115.424036993
984,megajuicio,35.0,0.0,3,0,3,6.35439894771e-27,3.72245423748,0.0322502516326,115.424036993
992,pildora,0.0,377.0,0,5,5,1.10962715923e-26,0.106355835356,12.1583448655,114.317609606
1004,mbae,0.0,374.0,0,177,177,1.75558929446e-26,0.106355835356,12.0615941106,113.407920404
75,culiados,307.0,9.0,162,8,170,3.99995353047e-212,32.6512414544,0.290252264693,112.492632879
44,lepra,1497.0,44.0,93,25,118,0.0,159.214685529,1.41901107183,112.201158039
1017,inara,34.0,0.0,1,0,1,3.3525771573e-26,3.61609840212,0.0322502516326,112.126207365
1018,menduco,34.0,0.0,19,0,19,3.3525771573e-26,3.61609840212,0.0322502516326,112.126207365
1019,pascualibro,34.0,0.0,1,0,1,3.3525771573e-26,3.61609840212,0.0322502516326,112.126207365
1020,compartos,34.0,0.0,14,0,14,3.3525771573e-26,3.61609840212,0.0322502516326,112.126207365
1074,manzo,34.0,1.0,8,1,9,4.47759967521e-25,3.61609840212,0.0322502516326,112.126207365
298,lnb,3.0,1108.0,2,36,38,1.49189906034e-73,0.319067506069,35.7332788089,111.992848313
1022,musicas,0.0,369.0,0,256,256,3.77163273039e-26,0.106355835356,11.9003428524,111.891771736
490,quot,2.0,726.0,1,22,23,8.35741610662e-49,0.212711670713,23.4136826853,110.072393333
1039,akil,0.0,362.0,0,144,144,1.10038153257e-25,0.106355835356,11.674591091,109.7691636
513,atino,66.0,2.0,51,2,53,5.09459715141e-47,7.01948513353,0.0645005032652,108.828377736
1116,delirada,33.0,1.0,30,1,31,2.35941674089e-24,3.50974256676,0.0322502516326,108.828377736
1048,lmf,33.0,0.0,5,0,5,1.7695575086e-25,3.50974256676,0.0322502516326,108.828377736
1047,auca,33.0,0.0,2,0,2,1.7695575086e-25,3.50974256676,0.0322502516326,108.828377736
1114,alvearrr,33.0,1.0,26,1,27,2.35941674089e-24,3.50974256676,0.0322502516326,108.828377736
1115,barroso,33.0,1.0,13,1,14,2.35941674089e-24,3.50974256676,0.0322502516326,108.828377736
19,mansa,1576.0,48.0,409,37,446,0.0,167.616796522,1.54801207836,108.278739465
1060,eldorado,0.0,356.0,0,93,93,2.75542643984e-25,0.106355835356,11.4810895812,107.949785198
117,mansos,228.0,7.0,133,4,137,9.95655064165e-158,24.2491304613,0.225751761428,107.415022181
1093,plumerillo,32.0,0.0,11,0,11,9.34422239855e-25,3.40338673141,0.0322502516326,105.530548108
1094,viñedos,32.0,0.0,12,0,12,9.34422239855e-25,3.40338673141,0.0322502516326,105.530548108
1097,honde,32.0,0.0,11,0,11,9.34422239855e-25,3.40338673141,0.0322502516326,105.530548108
1095,judasvideo,32.0,0.0,1,0,1,9.34422239855e-25,3.40338673141,0.0322502516326,105.530548108
