 ,cantPalabra,cantUsuariosTotal,regionTest,provinciaSinEsaPalabra,Palabra Candidata,rankPalabras,rankPalabras_Personas,rankPersonas,FnormMax,FnormMin,provinciaFnormMax,provinciaFnormMin,entropy_palabras,entropy_personas,esLugar,fnormArgentina,information_value_palabras,information_value_personas,information_value_personas_palabras,maxDif,normCantPalabras,normCantPersonas,shuffled_entropy_palabras,shuffled_entropy_personas,,
unpa,203,60,['santacruz'],19,0,217,208,87,26.7727783538,0.108242375461,santacruz,tucuman,0.117373690957,0.253445857779,ok,1.07699724975e-06,22.68599016,21.4362271804,0.307446836301,247.341008914,0.132004102566,0.281409589342,3.07692959367,3.04996089795,,
untdf,205,43,['tierradelfuego'],22,0,160,255,88,23.9507861583,23.9507861583,tierradelfuego,tierradelfuego,0.0,0.0,ok,1.08760806009e-06,23.6289244095,21.4238428361,0.274400464649,1.0,0.132813142825,0.240694463471,3.07689115712,2.78975172258,,
sanra,450,168,['mendoza'],14,0,167,81,89,42.8614016487,0.100081756787,mendoza,rionegro,0.445223763365,0.648534586042,lugar,2.38743232704e-06,23.501403672,21.4034340889,0.521317621138,428.263881697,0.197694606308,0.407244147313,3.11166205609,3.07694001438,,
quedarla,500,192,['sanluis'],13,1,171,75,90,53.9203777357,0.0992464022187,sanluis,cordoba,0.492386216956,0.662227908044,ok,2.6527025856e-06,23.462232963,21.3519811995,0.544799115452,543.298059479,0.206389108349,0.423563637297,3.10924964106,3.04372410754,,
edet,192,114,['tucuman'],19,0,271,147,91,20.1330818358,0.122529363856,tucuman,catamarca,0.170667181727,0.226290484489,ok,1.01863779287e-06,21.8852903845,21.1573735923,0.368999266965,164.312301984,0.127406782751,0.359853525714,3.05601966467,3.01567455729,,
casilda,1443,171,['santafe'],5,0,41,47,92,153.57138666,0.106355835356,santafe,mendoza,0.351583059382,0.988648474291,lugar,7.65569966203e-06,29.1264614373,21.120985428,0.671942425907,1443.93945237,0.293851233201,0.409407294611,3.12689151435,3.00115691311,,
bowen,640,105,['mendoza'],13,0,78,83,93,65.5151945796,0.100081756787,mendoza,rionegro,0.235089835153,0.785936627771,lugar,3.39545930956e-06,26.8664781083,21.1136458172,0.517789123981,654.616752171,0.226760358793,0.349802826817,3.11716292506,3.05088070396,,
unlpam,134,47,['lapampa'],22,0,282,332,94,14.8949825918,14.8949825918,lapampa,lapampa,0.0,0.0,ok,7.1092429294e-07,21.6451069601,21.1061829988,0.224946065584,1.0,0.0977274850947,0.251565147725,3.0632371566,2.98696809931,,
ambato,148,55,['catamarca'],21,0,275,276,95,17.8892871229,0.222856819396,catamarca,buenosaires,0.0715848336929,0.090876121333,lugar,7.85199965337e-07,21.7775517728,21.100465346,0.253580562274,80.272558728,0.105927845267,0.27077552594,3.09227872938,3.0176535448,,
corzuela,225,57,['chaco'],20,0,183,204,96,29.0560427957,0.216484750922,chaco,tucuman,0.101582421059,0.239692796333,lugar,1.19371616352e-06,23.2105580714,21.0975990207,0.310036120155,134.217503413,0.140495099089,0.275140798254,3.07204672041,2.93974268312,,
